q,r,s
0.002,0,0
0.002066841,2.5022778,7.286410428
0.002135916,0,0
0.002207299,1.2394409,2.41954102
0.002281068,2.1277243,4.204179887
0.002357302,2.1733932,3.044801146
0.002436085,0,0
0.0025175,2.1051872,1.868390395
0.002601636,2.0874969,1.566278728
0.002688583,1.879738,1.537209472
0.002778437,1.8871858,1.110869018
0.002871294,1.861826,1.037882852
0.002967254,1.79926817,0.86348377
0.003066421,1.78636195,0.757893847
0.003168902,1.76684418,0.58163731
0.003274808,1.85222044,0.564844781
0.003384254,1.77487453,0.454220162
0.003497357,1.76722885,0.494523855
0.003614241,1.82772611,0.320943647
0.00373503,1.79444955,0.350033817
0.003859857,1.85886618,0.281136407
0.003988855,1.80435695,0.252475341
0.004122164,1.814608,0.225101508
0.004259929,1.87296287,0.203065454
0.004402298,1.84036322,0.171092874
0.004549425,1.80624586,0.157210164
0.004701468,1.84052966,0.148187859
0.004858594,1.84605134,0.123995018
0.00502097,1.82814656,0.120093585
0.005188773,1.82590885,0.10965277
0.005362185,1.81536041,0.104064682
0.005541391,1.78205831,0.093920545
0.005726587,1.785482398,0.084306066
0.005917972,1.763325252,0.081459434
0.006115754,1.76542755,0.071403834
0.006320145,1.741103732,0.069488375
0.006531367,1.724059943,0.065000257
0.006749649,1.701156946,0.057970112
0.006975225,1.682998121,0.055089973
0.00720834,1.662726561,0.04818357
0.007449247,1.644251394,0.043866937
0.007698204,1.612312231,0.040927662
0.007955481,1.582394923,0.037702393
0.008221357,1.582071755,0.033883044
0.008496119,1.543652406,0.03145505
0.008780063,1.528263076,0.029370771
0.009073497,1.507238647,0.027849817
0.009376738,1.475738324,0.025381538
0.009690113,1.450865676,0.023339757
0.010013961,1.420865675,0.022378211
0.010348632,1.391745367,0.020418895
0.010694488,1.361919185,0.019198482
0.011051903,1.338312559,0.018018933
0.011421263,1.299111294,0.016503201
0.011802967,1.263301446,0.015597756
0.012197427,1.231884414,0.01461975
0.012605071,1.195182905,0.013416905
0.013026338,1.163454984,0.012610314
0.013461685,1.122773078,0.011879811
0.01391158,1.080381064,0.010790283
0.014376512,1.044511713,0.010115847
0.014856982,1.003008964,0.009355729
0.015353509,0.965527742,0.008580637
0.01586663,0.918361908,0.007851907
0.016396901,0.877315882,0.007274696
0.016944893,0.831663738,0.006704399
0.017511199,0.789432977,0.006089001
0.018096431,0.744197216,0.00570629
0.018701223,0.700912438,0.005238331
0.019326226,0.655323056,0.004757184
0.019972118,0.613186516,0.004334218
0.020639595,0.569128068,0.003974357
0.02132938,0.526069808,0.003620918
0.022042218,0.486049134,0.003251471
0.022778879,0.446312247,0.003005981
0.02354016,0.407236933,0.002768203
0.024326883,0.370883278,0.002517609
0.025139899,0.335582177,0.002292529
0.025980086,0.301266456,0.002049985
0.026848353,0.270081838,0.001865747
0.027745637,0.238930023,0.001656511
0.02867291,0.211481723,0.00150168
0.029631172,0.185666916,0.001360928
0.030621459,0.161826207,0.00127837
0.031644843,0.140765085,0.001146545
0.032702428,0.121629382,0.001014612
0.033795359,0.104182235,0.000914385
0.034924815,0.088590797,0.000828473
0.036092019,0.075132676,0.000748612
0.037298231,0.063119192,0.000694887
0.038544755,0.051830957,0.000655393
0.039832939,0.043744018,0.000609773
0.041164175,0.03585285,0.000574233
0.042539901,0.029441261,0.000529615
0.043961604,0.024540246,0.000493348
0.045430821,0.020386832,0.000465465
0.046949141,0.016689403,0.000439243
0.048518203,0.013628879,0.000415751
0.050139704,0.011014765,0.000397023
0.051815396,0.009361999,0.000381083
0.053547091,0.008071203,0.000366288
0.05533666,0.006543915,0.000350984
0.057186037,0.00596094,0.00034306
0.059097221,0.005296212,0.000334841
0.061072278,0.00476769,0.000331302
0.063113342,0.004313111,0.000335654
0.065222619,0.003789049,0.000330533
0.06740239,0.003483352,0.000323951
0.069655009,0.003487313,0.000298447
0.071982912,0.003034434,0.000283072
0.074388615,0.002894655,0.000270385
0.076874717,0.002565729,0.000265927
0.079443906,0.002556767,0.000271798
0.082098958,0.002073834,0.00026182
0.084842744,0.00219337,0.000238763
0.087678228,0.001837105,0.00022678
0.090608475,0.001800858,0.000217848
0.093636653,0.001594892,0.000209534
0.096766034,0.001481368,0.000203325
0.1,0.001204306,0.000229587
0.102,0.001507202,0.000253596
0.104,0.001051343,0.000246328
0.106,0.001380947,0.000242934
0.108,0.001017255,0.00023958
0.11,0.000895658,0.000236956
0.112,0.000891812,0.00023405
0.114,0.000923607,0.000230161
0.116,0.000910113,0.000226962
0.118,0.000792706,0.000227946
0.12,0.001046697,0.000226762
0.122,0.000676834,0.000224857
0.124,0.000803382,0.00021886
0.126,0.000772446,0.000216089
0.128,0.000699084,0.000214169
0.13,0.000756078,0.000221058
0.132,0.000577243,0.000226299
0.134,0.000534946,0.000228562
0.136,0.000653453,0.000224376
0.138,0.000547234,0.000221093
0.14,0.000813297,0.00021808
0.142,0.000419785,0.000212749
0.144,0.000481728,0.000207832
0.146,0.000539549,0.00020565
0.148,0.000596127,0.000203642
0.15,0.000544277,0.000200507
0.152,0.000557142,0.000197449
0.154,0.000604328,0.000194551
0.156,0.000549843,0.000193782
0.158,0.000444679,0.000196361
0.16,0.000494815,0.000195711
0.162,0.000723511,0.000191552
0.164,0.000517456,0.000188862
0.166,0.000522126,0.000190957
0.168,0.000488099,0.000190329
0.17,0.000319045,0.000185987
0.172,0.000494579,0.000183872
0.174,0.000576528,0.000182582
0.176,0.000286226,0.000181818
0.178,0.000400861,0.000181773
0.18,0.000313638,0.000181998
0.182,0.000441626,0.000177657
0.184,0.000275626,0.00017564
0.186,0.000363706,0.000174471
0.188,0.000340922,0.000172673
0.19,0.000492549,0.000170901
0.192,0.000309121,0.000169668
0.194,0.000262046,0.000168703
0.196,0.000298019,0.000169835
0.198,0.000324863,0.00017476
0.2,0.000204922,0.000178993
0.202,0.000340801,0.000178688
0.204,0.000134476,0.000176039
0.206,0.000336406,0.000170041
0.208,0.000366455,0.000167838
0.21,0.000257666,0.000166919
0.212,0.000398672,0.000165642
0.214,0.000226204,0.000164056
0.216,0.000362741,0.000164883
0.218,0.00028786,0.000164986
0.22,0.000331516,0.000163838
0.222,0.000398506,0.000162415
0.224,0.000324042,0.000161283
0.226,0.000342324,0.000160037
0.228,0.000298774,0.000158702
0.23,0.000259428,0.000158288
0.232,0.000272836,0.000157119
0.234,0.000227648,0.00016037
0.236,0.00042058,0.000161837
0.238,0.000365901,0.00016298
0.24,0.000282734,0.000165425
0.242,0.000210945,0.000166921
0.244,0.000389949,0.000167271
0.246,0.00031174,0.00016729
0.248,0.000218589,0.000168158
0.25,0.000242449,0.000169416
0.252,0.000352199,0.000169678
0.254,0.000114298,0.000169465
0.256,0.000340063,0.00016996
0.258,0.000503541,0.000170491
0.26,0.000277403,0.000171395
0.262,0.000177737,0.000171922
0.264,0.000236859,0.000172495
0.266,0.000414532,0.000181227
0.268,0.000320955,0.000187863
0.27,0.000386965,0.000192261
0.272,7.11E-05,0.000189011
0.274,0.000317025,0.000183097
0.276,0.000167011,0.000181446
0.278,0.000261908,0.000179566
0.28,0.00013844,0.000178483
0.282,0.000181236,0.000178178
0.284,0.000287132,0.000178763
0.286,0.000281027,0.000179338
0.288,0.000365179,0.000178439
0.29,0.000289535,0.0001784
0.292,0.000362551,0.000177376
0.294,0.000276483,0.000176913
0.296,0.000382931,0.000176943
0.298,0.000219294,0.000177445
0.3,0.00015844,0.00014602
0.304,0.000249909,0.000130015
0.308,0.000406321,0.000127321
0.312,0.000183903,0.000124738
0.316,0.000227379,0.000131071
0.32,0.000322706,0.00013822
0.324,0.000131418,0.00014477
0.328,0.000264216,0.000145998
0.332,0.000214655,0.0001401
0.336,0.000237889,0.000147199
0.34,0.000378583,0.000152343
0.344,0.000306485,0.000143164
0.348,0.000332998,0.000140485
0.352,0.000341212,0.000138674
0.356,0.000382441,0.00013593
0.36,0.000275003,0.000132392
0.364,0.00033342,0.000130335
0.368,0.000435682,0.000129802
0.372,0.000346665,0.000132601
0.376,0.000178923,0.000128399
0.38,0.00018902,0.000127664
0.384,0.000209818,0.000127577
0.388,0.000366981,0.000127009
0.392,0.000309204,0.000127376
0.396,0.000296597,0.00012689
0.4,0.000135073,0.000129768
0.404,0.000248918,0.000145581
0.408,0.000204549,0.000144101
0.412,0.000240866,0.000132701
0.416,0.000272799,0.000130415
0.42,0.000220066,0.000127696
0.424,0.000312259,0.000125867
0.428,0.000312922,0.000125002
0.432,0.000239348,0.000125688
0.436,0.000203805,0.000128405
0.44,0.000263794,0.000130428
0.444,0.00018444,0.000127519
0.448,0.000180331,0.000126547
0.452,0.000292374,0.000126153
0.456,0.000226484,0.000125599
0.46,0.000141308,0.000125453
0.464,0.00022752,0.000125201
0.468,0.00024921,0.000130828
0.472,0.000376423,0.000152433
0.476,0.000129292,0.000178175
0.48,8.81E-06,0.000197015
